lot_area,firstfloor_sqft,living_area,bath,garage_area,price
9439,912,1248,1,160,87000
6292,790,790,1,160,91000
2500,916,1826,1,164,155000
7259,1436,2320,2,180,259500
11500,1020,2057,1,180,250000
13132,892,1784,1,180,138887
10410,808,1656,2,180,135000
6120,939,1513,1,180,137500
10592,900,1502,1,180,165000
6180,986,986,1,180,102000
6000,904,904,1,180,119000
6120,875,875,1,180,105000
7681,820,1343,1,186,154900
6402,596,1192,1,189,78000
8854,952,952,1,192,121000
8600,780,1376,2,198,119500
5720,676,1131,1,200,66500
9084,616,1111,1,200,95000
8212,864,864,1,200,58500
10594,789,789,1,200,96500
9900,1178,2210,2,205,117500
7420,1077,1077,1,205,118000
6000,616,616,1,205,89000
6000,950,1158,1,208,120000
9906,810,1328,1,210,107000
3950,818,1224,1,210,115000
9786,1077,1077,1,210,91000
7500,753,1494,1,213,177500
8520,1664,2526,2,216,136000
7588,901,1802,1,216,200100
6858,841,1647,1,216,128000
5400,1149,1616,2,216,152000
6171,1160,1608,2,216,137450
6292,877,1477,2,216,145000
10320,756,1469,1,216,135000
7642,912,1426,1,216,189950
3600,684,1368,1,216,114504
6000,884,1348,1,216,117000
10800,968,968,2,216,64500
5400,691,691,1,216,86000
8741,798,1487,1,220,113000
5820,1163,1163,1,220,126175
4608,747,747,1,220,80000
8850,815,1690,1,225,144000
6240,1042,1576,1,225,149000
5100,833,1666,1,228,161000
7800,1112,2008,3,230,225000
12000,860,1564,1,234,174500
9340,672,672,1,234,113000
8400,1052,2192,2,240,179500
7200,1136,1904,1,240,138000
9120,1133,1820,2,240,184000
7758,1226,1818,1,240,169500
7200,981,1768,1,240,175000
9000,1089,1750,1,240,124000
13125,960,1740,1,240,219500
11988,849,1660,1,240,188700
7128,918,1646,2,240,164000
10480,1166,1639,1,240,115000
8400,1192,1595,1,240,140000
9490,958,1578,1,240,133000
6120,989,1573,1,240,133000
8405,1088,1529,2,240,98000
9144,988,1505,1,240,145000
9900,944,1489,2,240,139500
3378,707,1389,1,240,135000
9492,968,1376,1,240,105000
6240,896,1344,1,240,115000
6000,757,1324,1,240,128000
8635,1072,1285,1,240,127000
3500,720,1284,1,240,110000
11767,768,1200,1,240,130500
10880,1164,1164,1,240,125000
5436,796,1154,1,240,125500
8160,756,1134,1,240,126000
11664,1082,1082,1,240,119200
9717,1078,1078,1,240,142125
10134,735,1034,1,240,109000
8923,1008,1008,1,240,134500
8000,972,972,1,240,132000
6305,954,954,1,240,119750
8400,913,913,1,240,129000
7200,804,804,1,240,119000
9022,792,792,1,240,109500
7677,773,773,1,240,110000
10200,672,672,1,240,108000
6324,520,520,1,240,68500
7800,1268,1268,1,244,132000
7922,1057,1057,1,246,109000
8400,438,438,1,246,60000
10215,948,948,1,248,111000
9600,842,1472,1,250,125000
8500,649,1317,1,250,40000
6000,789,789,1,250,115000
9042,1188,2340,2,252,266500
9060,1340,1340,1,252,120000
9286,1268,1268,1,252,143500
11600,1180,1180,1,252,137500
13300,928,928,1,252,132000
7000,1134,1134,1,254,135000
5310,1001,1635,1,255,117000
6000,811,1387,2,256,93000
9600,976,1308,1,256,160000
7390,1098,1098,1,260,135000
9250,1056,1056,1,260,139400
6897,1040,1040,1,260,127000
7943,1029,1029,1,261,118500
7590,876,1812,2,264,169500
1680,630,1302,2,264,119500
1890,672,1218,1,264,113000
1680,672,1218,1,264,118000
10000,1144,1144,1,264,131400
10482,1138,1138,1,264,145000
6060,772,1123,1,264,100000
9600,1113,1113,1,264,147000
10382,1095,1095,1,264,140000
